# SentenceBreakProperty-5.0.0.txt
# Date: 2006-03-09, 23:14:25 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2006 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see UCD.html

# ================================================

# Property:	Sentence_Break

#  All code points not explicitly listed for Sentence_Break
#  have the value Other (XX).

# @missing: 0000..10FFFF; Other

# ================================================

1E69          ; Lower # L&       LATIN SMALL LETTER S WITH DOT BELOW AND DOT ABOVE
1E6B          ; Lower # L&       LATIN SMALL LETTER T WITH DOT ABOVE
1E6D          ; Lower # L&       LATIN SMALL LETTER T WITH DOT BELOW
1E6F          ; Lower # L&       LATIN SMALL LETTER T WITH LINE BELOW
1E71          ; Lower # L&       LATIN SMALL LETTER T WITH CIRCUMFLEX BELOW
1E73          ; Lower # L&       LATIN SMALL LETTER U WITH DIAERESIS BELOW
1E75          ; Lower # L&       LATIN SMALL LETTER U WITH TILDE BELOW
1E77          ; Lower # L&       LATIN SMALL LETTER U WITH CIRCUMFLEX BELOW
1E79          ; Lower # L&       LATIN SMALL LETTER U WITH TILDE AND ACUTE
1E7B          ; Lower # L&       LATIN SMALL LETTER U WITH MACRON AND DIAERESIS
1E7D          ; Lower # L&       LATIN SMALL LETTER V WITH TILDE
1E7F          ; Lower # L&       LATIN SMALL LETTER V WITH DOT BELOW
1E81          ; Lower # L&       LATIN SMALL LETTER W WITH GRAVE
1E83          ; Lower # L&       LATIN SMALL LETTER W WITH ACUTE
1E85          ; Lower # L&       LATIN SMALL LETTER W WITH DIAERESIS
1E87          ; Lower # L&       LATIN SMALL LETTER W WITH DOT ABOVE
1E89          ; Lower # L&       LATIN SMALL LETTER W WITH DOT BELOW
1E8B          ; Lower # L&       LATIN SMALL LETTER X WITH DOT ABOVE
1E8D          ; Lower # L&       LATIN SMALL LETTER X WITH DIAERESIS
1E8F          ; Lower # L&       LATIN SMALL LETTER Y WITH DOT ABOVE
1E91          ; Lower # L&       LATIN SMALL LETTER Z WITH CIRCUMFLEX
1E93          ; Lower # L&       LATIN SMALL LETTER Z WITH DOT BELOW
1E95..1E9B    ; Lower # L&   [7] LATIN SMALL LETTER Z WITH LINE BELOW..LATIN SMALL LETTER LONG S WITH DOT ABOVE
1EA1          ; Lower # L&       LATIN SMALL LETTER A WITH DOT BELOW
1EA3          ; Lower # L&       LATIN SMALL LETTER A WITH HOOK ABOVE
1EA5          ; Lower # L&       LATIN SMALL LETTER A WITH CIRCUMFLEX AND ACUTE
1EA7          ; Lower # L&       LATIN SMALL LETTER A WITH CIRCUMFLEX AND GRAVE
1EA9          ; Lower # L&       LATIN SMALL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
1EAB          ; Lower # L&       LATIN SMALL LETTER A WITH CIRCUMFLEX AND TILDE
1EAD          ; Lower # L&       LATIN SMALL LETTER A WITH CIRCUMFLEX AND DOT BELOW
1EAF          ; Lower # L&       LATIN SMALL LETTER A WITH BREVE AND ACUTE
1EB1          ; Lower # L&       LATIN SMALL LETTER A WITH BREVE AND GRAVE
1EB3          ; Lower # L&       LATIN SMALL LETTER A WITH BREVE AND HOOK ABOVE
1EB5          ; Lower # L&       LATIN SMALL LETTER A WITH BREVE AND TILDE
1EB7          ; Lower # L&       LATIN SMALL LETTER A WITH BREVE AND DOT BELOW
1EB9          ; Lower # L&       LATIN SMALL LETTER E WITH DOT BELOW
1EBB          ; Lower # L&       LATIN SMALL LETTER E WITH HOOK ABOVE
1EBD          ; Lower # L&       LATIN SMALL LETTER E WITH TILDE
1EBF          ; Lower # L&       LATIN SMALL LETTER E WITH CIRCUMFLEX AND ACUTE
1EC1          ; Lower # L&       LATIN SMALL LETTER E WITH CIRCUMFLEX AND GRAVE
1EC3          ; Lower # L&       LATIN SMALL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
1EC5          ; Lower # L&       LATIN SMALL LETTER E WITH CIRCUMFLEX AND TILDE
1EC7          ; Lower # L&       LATIN SMALL LETTER E WITH CIRCUMFLEX AND DOT BELOW
1EC9          ; Lower # L&       LATIN SMALL LETTER I WITH HOOK ABOVE
1ECB          ; Lower # L&       LATIN SMALL LETTER I WITH DOT BELOW
1ECD          ; Lower # L&       LATIN SMALL LETTER O WITH DOT BELOW
1ECF          ; Lower # L&       LATIN SMALL LETTER O WITH HOOK ABOVE
1ED1          ; Lower # L&       LATIN SMALL LETTER O WITH CIRCUMFLEX AND ACUTE
1ED3          ; Lower # L&       LATIN SMALL LETTER O WITH CIRCUMFLEX AND GRAVE
1ED5          ; Lower # L&       LATIN SMALL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE
1ED7          ; Lower # L&       LATIN SMALL LETTER O WITH CIRCUMFLEX AND TILDE
1ED9          ; Lower # L&       LATIN SMALL LETTER O WITH CIRCUMFLEX AND DOT BELOW
1EDB          ; Lower # L&       LATIN SMALL LETTER O WITH HORN AND ACUTE
1EDD          ; Lower # L&       LATIN SMALL LETTER O WITH HORN AND GRAVE
1EDF          ; Lower # L&       LATIN SMALL LETTER O WITH HORN AND HOOK ABOVE
1EE1          ; Lower # L&       LATIN SMALL LETTER O WITH HORN AND TILDE
1EE3          ; Lower # L&       LATIN SMALL LETTER O WITH HORN AND DOT BELOW
1EE5          ; Lower # L&       LATIN SMALL LETTER U WITH DOT BELOW
1EE7          ; Lower # L&       LATIN SMALL LETTER U WITH HOOK ABOVE
1EE9          ; Lower # L&       LATIN SMALL LETTER U WITH HORN AND ACUTE
1EEB          ; Lower # L&       LATIN SMALL LETTER U WITH HORN AND GRAVE
1EED          ; Lower # L&       LATIN SMALL LETTER U WITH HORN AND HOOK ABOVE
1EEF          ; Lower # L&       LATIN SMALL LETTER U WITH HORN AND TILDE
1EF1          ; Lower # L&       LATIN SMALL LETTER U WITH HORN AND DOT BELOW
1EF3          ; Lower # L&       LATIN SMALL LETTER Y WITH GRAVE
1EF5          ; Lower # L&       LATIN SMALL LETTER Y WITH DOT BELOW
1EF7          ; Lower # L&       LATIN SMALL LETTER Y WITH HOOK ABOVE
1EF9          ; Lower # L&       LATIN SMALL LETTER Y WITH TILDE
1F00..1F07    ; Lower # L&   [8] GREEK SMALL LETTER ALPHA WITH PSILI..GREEK SMALL LETTER ALPHA WITH DASIA AND PERISPOMENI
1F10..1F15    ; Lower # L&   [6] GREEK SMALL LETTER EPSILON WITH PSILI..GREEK SMALL LETTER EPSILON WITH DASIA AND OXIA
1F20..1F27    ; Lower # L&   [8] GREEK SMALL LETTER ETA WITH PSILI..GREEK SMALL LETTER ETA WITH DASIA AND PERISPOMENI
1F30..1F37    ; Lower # L&   [8] GREEK SMALL LETTER IOTA WITH PSILI..GREEK SMALL LETTER IOTA WITH DASIA AND PERISPOMENI
1F40..1F45    ; Lower # L&   [6] GREEK SMALL LETTER OMICRON WITH PSILI..GREEK SMALL LETTER OMICRON WITH DASIA AND OXIA
1F50..1F57    ; Lower # L&   [8] GREEK SMALL LETTER UPSILON WITH PSILI..GREEK SMALL LETTER UPSILON WITH DASIA AND PERISPOMENI
1F60..1F67    ; Lower # L&   [8] GREEK SMALL LETTER OMEGA WITH PSILI..GREEK SMALL LETTER OMEGA WITH DASIA AND PERISPOMENI
1F70..1F7D    ; Lower # L&  [14] GREEK SMALL LETTER ALPHA WITH VARIA..GREEK SMALL LETTER OMEGA WITH OXIA
1F80..1F87    ; Lower # L&   [8] GREEK SMALL LETTER ALPHA WITH PSILI AND YPOGEGRAMMENI..GREEK SMALL LETTER ALPHA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
1F90..1F97    ; Lower # L&   [8] GREEK SMALL LETTER ETA WITH PSILI AND YPOGEGRAMMENI..GREEK SMALL LETTER ETA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
1FA0..1FA7    ; Lower # L&   [8] GREEK SMALL LETTER OMEGA WITH PSILI AND YPOGEGRAMMENI..GREEK SMALL LETTER OMEGA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
1FB0..1FB4    ; Lower # L&   [5] GREEK SMALL LETTER ALPHA WITH VRACHY..GREEK SMALL LETTER ALPHA WITH OXIA AND YPOGEGRAMMENI
1FB6..1FB7    ; Lower # L&   [2] GREEK SMALL LETTER ALPHA WITH PERISPOMENI..GREEK SMALL LETTER ALPHA WITH PERISPOMENI AND YPOGEGRAMMENI
1FBE          ; Lower # L&       GREEK PROSGEGRAMMENI
1FC2..1FC4    ; Lower # L&   [3] GREEK SMALL LETTER ETA WITH VARIA AND YPOGEGRAMMENI..GREEK SMALL LETTER ETA WITH OXIA AND YPOGEGRAMMENI
1FC6..1FC7    ; Lower # L&   [2] GREEK SMALL LETTER ETA WITH PERISPOMENI..GREEK SMALL LETTER ETA WITH PERISPOMENI AND YPOGEGRAMMENI
1FD0..1FD3    ; Lower # L&   [4] GREEK SMALL LETTER IOTA WITH VRACHY..GREEK SMALL LETTER IOTA WITH DIALYTIKA AND OXIA
1FD6..1FD7    ; Lower # L&   [2] GREEK SMALL LETTER IOTA WITH PERISPOMENI..GREEK SMALL LETTER IOTA WITH DIALYTIKA AND PERISPOMENI
1FE0..1FE7    ; Lower # L&   [8] GREEK SMALL LETTER UPSILON WITH VRACHY..GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND PERISPOMENI
1FF2..1FF4    ; Lower # L&   [3] GREEK SMALL LETTER OMEGA WITH VARIA AND YPOGEGRAMMENI..GREEK SMALL LETTER OMEGA WITH OXIA AND YPOGEGRAMMENI
1FF6..1FF7    ; Lower # L&   [2] GREEK SMALL LETTER OMEGA WITH PERISPOMENI..GREEK SMALL LETTER OMEGA WITH PERISPOMENI AND YPOGEGRAMMENI
2071          ; Lower # L&       SUPERSCRIPT LATIN SMALL LETTER I
207F          ; Lower # L&       SUPERSCRIPT LATIN SMALL LETTER N
2090..2094    ; Lower # Lm   [5] LATIN SUBSCRIPT SMALL LETTER A..LATIN SUBSCRIPT SMALL LETTER SCHWA
210A          ; Lower # L&       SCRIPT SMALL G
210E..210F    ; Lower # L&   [2] PLANCK CONSTANT..PLANCK CONSTANT OVER TWO PI
2113          ; Lower # L&       SCRIPT SMALL L
212F          ; Lower # L&       SCRIPT SMALL E
2134          ; Lower # L&       SCRIPT SMALL O
2139          ; Lower # L&       INFORMATION SOURCE
213C..213D    ; Lower # L&   [2] DOUBLE-STRUCK SMALL PI..DOUBLE-STRUCK SMALL GAMMA
2146..2149    ; Lower # L&   [4] DOUBLE-STRUCK ITALIC SMALL D..DOUBLE-STRUCK ITALIC SMALL J
214E          ; Lower # L&       TURNED SMALL F
2170..217F    ; Lower # Nl  [16] SMALL ROMAN NUMERAL ONE..SMALL ROMAN NUMERAL ONE THOUSAND
2184          ; Lower # L&       LATIN SMALL LETTER REVERSED C
24D0..24E9    ; Lower # So  [26] CIRCLED LATIN SMALL LETTER A..CIRCLED LATIN SMALL LETTER Z
2C30..2C5E    ; Lower # L&  [47] GLAGOLITIC SMALL LETTER AZU..GLAGOLITIC SMALL LETTER LATINATE MYSLITE
2C61          ; Lower # L&       LATIN SMALL LETTER L WITH DOUBLE BAR
2C65..2C66    ; Lower # L&   [2] LATIN SMALL LETTER A WITH STROKE..LATIN SMALL LETTER T WITH DIAGONAL STROKE
2C68          ; Lower # L&       LATIN SMALL LETTER H WITH DESCENDER
2C6A          ; Lower # L&       LATIN SMALL LETTER K WITH DESCENDER
2C6C          ; Lower # L&       LATIN SMALL LETTER Z WITH DESCENDER
2C74          ; Lower # L&       LATIN SMALL LETTER V WITH CURL
2C76..2C77    ; Lower # L&   [2] LATIN SMALL LETTER HALF H..LATIN SMALL LETTER TAILLESS PHI
2C81          ; Lower # L&       COPTIC SMALL LETTER ALFA
2C83          ; Lower # L&       COPTIC SMALL LETTER VIDA
2C85          ; Lower # L&       COPTIC SMALL LETTER GAMMA
2C87          ; Lower # L&       COPTIC SMALL LETTER DALDA
2C89          ; Lower # L&       COPTIC SMALL LETTER EIE
2C8B          ; Lower # L&       COPTIC SMALL LETTER SOU
2C8D          ; Lower # L&       COPTIC SMALL LETTER ZATA
2C8F          ; Lower # L&       COPTIC SMALL LETTER HATE
2C91          ; Lower # L&       COPTIC SMALL LETTER THETHE
2C93          ; Lower # L&       COPTIC SMALL LETTER IAUDA
2C95          ; Lower # L&       COPTIC SMALL LETTER KAPA
2C97          ; Lower # L&       COPTIC SMALL LETTER LAULA
2C99          ; Lower # L&       COPTIC SMALL LETTER MI
2C9B          ; Lower # L&       COPTIC SMALL LETTER NI
2C9D          ; Lower # L&       COPTIC SMALL LETTER KSI
2C9F          ; Lower # L&       COPTIC SMALL LETTER O
2CA1          ; Lower # L&       COPTIC SMALL LETTER PI
2CA3          ; Lower # L&       COPTIC SMALL LETTER RO
2CA5          ; Lower # L&       COPTIC SMALL LETTER SIMA
2CA7          ; Lower # L&       COPTIC SMALL LETTER TAU
2CA9          ; Lower # L&       COPTIC SMALL LETTER UA
2CAB          ; Lower # L&       COPTIC SMALL LETTER FI
2CAD          ; Lower # L&       COPTIC SMALL LETTER KHI
2CAF          ; Lower # L&       COPTIC SMALL LETTER PSI
2CB1          ; Lower # L&       COPTIC SMALL LETTER OOU
2CB3          ; Lower # L&       COPTIC SMALL LETTER DIALECT-P ALEF
2CB5          ; Lower # L&       COPTIC SMALL LETTER OLD COPTIC AIN
2CB7          ; Lower # L&       COPTIC SMALL LETTER CRYPTOGRAMMIC EIE
2CB9          ; Lower # L&       COPTIC SMALL LETTER DIALECT-P KAPA
2CBB          ; Lower # L&       COPTIC SMALL LETTER DIALECT-P NI
2CBD          ; Lower # L&       COPTIC SMALL LETTER CRYPTOGRAMMIC NI
2CBF          ; Lower # L&       COPTIC SMALL LETTER OLD COPTIC OOU
2CC1          ; Lower # L&       COPTIC SMALL LETTER SAMPI
2CC3          ; Lower # L&       COPTIC SMALL LETTER CROSSED SHEI
2CC5          ; Lower # L&       COPTIC SMALL LETTER OLD COPTIC SHEI
2CC7          ; Lower # L&       COPTIC SMALL LETTER OLD COPTIC ESH
2CC9          ; Lower # L&       COPTIC SMALL LETTER AKHMIMIC KHEI
2CCB          ; Lower # L&       COPTIC SMALL LETTER DIALECT-P HORI
2CCD          ; Lower # L&       COPTIC SMALL LETTER OLD COPTIC HORI
2CCF          ; Lower # L&       COPTIC SMALL LETTER OLD COPTIC HA
2CD1          ; Lower # L&       COPTIC SMALL LETTER L-SHAPED HA
2CD3          ; Lower # L&       COPTIC SMALL LETTER OLD COPTIC HEI
2CD5          ; Lower # L&       COPTIC SMALL LETTER OLD COPTIC HAT
2CD7          ; Lower # L&       COPTIC SMALL LETTER OLD COPTIC GANGIA
2CD9          ; Lower # L&       COPTIC SMALL LETTER OLD COPTIC DJA
2CDB          ; Lower # L&       COPTIC SMALL LETTER OLD COPTIC SHIMA
2CDD          ; Lower # L&       COPTIC SMALL LETTER OLD NUBIAN SHIMA
2CDF          ; Lower # L&       COPTIC SMALL LETTER OLD NUBIAN NGI
2CE1          ; Lower # L&       COPTIC SMALL LETTER OLD NUBIAN NYI
2CE3..2CE4    ; Lower # L&   [2] COPTIC SMALL LETTER OLD NUBIAN WAU..COPTIC SYMBOL KAI
2D00..2D25    ; Lower # L&  [38] GEORGIAN SMALL LETTER AN..GEORGIAN SMALL LETTER HOE
FB00..FB06    ; Lower # L&   [7] LATIN SMALL LIGATURE FF..LATIN SMALL LIGATURE ST
FB13..FB17    ; Lower # L&   [5] ARMENIAN SMALL LIGATURE MEN NOW..ARMENIAN SMALL LIGATURE MEN XEH
FF41..FF5A    ; Lower # L&  [26] FULLWIDTH LATIN SMALL LETTER A..FULLWIDTH LATIN SMALL LETTER Z
10428..1044F  ; Lower # L&  [40] DESERET SMALL LETTER LONG I..DESERET SMALL LETTER EW
1D41A..1D433  ; Lower # L&  [26] MATHEMATICAL BOLD SMALL A..MATHEMATICAL BOLD SMALL Z
1D44E..1D454  ; Lower # L&   [7] MATHEMATICAL ITALIC SMALL A..MATHEMATICAL ITALIC SMALL G
1D456..1D467  ; Lower # L&  [18] MATHEMATICAL ITALIC SMALL I..MATHEMATICAL ITALIC SMALL Z
1D482..1D49B  ; Lower # L&  [26] MATHEMATICAL BOLD ITALIC SMALL A..MATHEMATICAL BOLD ITALIC SMALL Z
1D4B6..1D4B9  ; Lower # L&   [4] MATHEMATICAL SCRIPT SMALL A..MATHEMATICAL SCRIPT SMALL D
1D4BB         ; Lower # L&       MATHEMATICAL SCRIPT SMALL F
1D4BD..1D4C3  ; Lower # L&   [7] MATHEMATICAL SCRIPT SMALL H..MATHEMATICAL SCRIPT SMALL N
1D4C5..1D4CF  ; Lower # L&  [11] MATHEMATICAL SCRIPT SMALL P..MATHEMATICAL SCRIPT SMALL Z
1D4EA..1D503  ; Lower # L&  [26] MATHEMATICAL BOLD SCRIPT SMALL A..MATHEMATICAL BOLD SCRIPT SMALL Z
1D51E..1D537  ; Lower # L&  [26] MATHEMATICAL FRAKTUR SMALL A..MATHEMATICAL FRAKTUR SMALL Z
1D552..1D56B  ; Lower # L&  [26] MATHEMATICAL DOUBLE-STRUCK SMALL A..MATHEMATICAL DOUBLE-STRUCK SMALL Z
1D586..1D59F  ; Lower # L&  [26] MATHEMATICAL BOLD FRAKTUR SMALL A..MATHEMATICAL BOLD FRAKTUR SMALL Z
1D5BA..1D5D3  ; Lower # L&  [26] MATHEMATICAL SANS-SERIF SMALL A..MATHEMATICAL SANS-SERIF SMALL Z
1D5EE..1D607  ; Lower # L&  [26] MATHEMATICAL SANS-SERIF BOLD SMALL A..MATHEMATICAL SANS-SERIF BOLD SMALL Z
1D622..1D63B  ; Lower # L&  [26] MATHEMATICAL SANS-SERIF ITALIC SMALL A..MATHEMATICAL SANS-SERIF ITALIC SMALL Z
1D656..1D66F  ; Lower # L&  [26] MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL A..MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL Z
1D68A..1D6A5  ; Lower # L&  [28] MATHEMATICAL MONOSPACE SMALL A..MATHEMATICAL ITALIC SMALL DOTLESS J
1D6C2..1D6DA  ; Lower # L&  [25] MATHEMATICAL BOLD SMALL ALPHA..MATHEMATICAL BOLD SMALL OMEGA
1D6DC..1D6E1  ; Lower # L&   [6] MATHEMATICAL BOLD EPSILON SYMBOL..MATHEMATICAL BOLD PI SYMBOL
1D6FC..1D714  ; Lower # L&  [25] MATHEMATICAL ITALIC SMALL ALPHA..MATHEMATICAL ITALIC SMALL OMEGA
1D716..1D71B  ; Lower # L&   [6] MATHEMATICAL ITALIC EPSILON SYMBOL..MATHEMATICAL ITALIC PI SYMBOL
1D736..1D74E  ; Lower # L&  [25] MATHEMATICAL BOLD ITALIC SMALL ALPHA..MATHEMATICAL BOLD ITALIC SMALL OMEGA
1D750..1D755  ; Lower # L&   [6] MATHEMATICAL BOLD ITALIC EPSILON SYMBOL..MATHEMATICAL BOLD ITALIC PI SYMBOL
1D770..1D788  ; Lower # L&  [25] MATHEMATICAL SANS-SERIF BOLD SMALL ALPHA..MATHEMATICAL SANS-SERIF BOLD SMALL OMEGA
1D78A..1D78F  ; Lower # L&   [6] MATHEMATICAL SANS-SERIF BOLD EPSILON SYMBOL..MATHEMATICAL SANS-SERIF BOLD PI SYMBOL
1D7AA..1D7C2  ; Lower # L&  [25] MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL ALPHA..MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL OMEGA
1D7C4..1D7C9  ; Lower # L&   [6] MATHEMATICAL SANS-SERIF BOLD ITALIC EPSILON SYMBOL..MATHEMATICAL SANS-SERIF BOLD ITALIC PI SYMBOL
1D7CB         ; Lower # L&       MATHEMATICAL BOLD SMALL DIGAMMA

# Total code points: 1790

# ================================================

0041..005A    ; Upper # L&  [26] LATIN CAPITAL LETTER A..LATIN CAPITAL LETTER Z
00C0..00D6    ; Upper # L&  [23] LATIN CAPITAL LETTER A WITH GRAVE..LATIN CAPITAL LETTER O WITH DIAERESIS
00D8..00DE    ; Upper # L&   [7] LATIN CAPITAL LETTER O WITH STROKE..LATIN CAPITAL LETTER THORN
0100          ; Upper # L&       LATIN CAPITAL LETTER A WITH MACRON
0102          ; Upper # L&       LATIN CAPITAL LETTER A WITH BREVE
0104          ; Upper # L&       LATIN CAPITAL LETTER A WITH OGONEK
0106          ; Upper # L&       LATIN CAPITAL LETTER C WITH ACUTE
0108          ; Upper # L&       LATIN CAPITAL LETTER C WITH CIRCUMFLEX
010A          ; Upper # L&       LATIN CAPITAL LETTER C WITH DOT ABOVE
010C          ; Upper # L&       LATIN CAPITAL LETTER C WITH CARON
010E          ; Upper # L&       LATIN CAPITAL LETTER D WITH CARON
0110          ; Upper # L&       LATIN CAPITAL LETTER D WITH STROKE
0112          ; Upper # L&       LATIN CAPITAL LETTER E WITH MACRON
0114          ; Upper # L&       LATIN CAPITAL LETTER E WITH BREVE
0116          ; Upper # L&       LATIN CAPITAL LETTER E WITH DOT ABOVE
0118          ; Upper # L&       LATIN CAPITAL LETTER E WITH OGONEK
011A          ; Upper # L&       LATIN CAPITAL LETTER E WITH CARON
011C          ; Upper # L&       LATIN CAPITAL LETTER G WITH CIRCUMFLEX
011E          ; Upper # L&       LATIN CAPITAL LETTER G WITH BREVE
0120          ; Upper # L&       LATIN CAPITAL LETTER G WITH DOT ABOVE
0122          ; Upper # L&       LATIN CAPITAL LETTER G WITH CEDILLA
0124          ; Upper # L&       LATIN CAPITAL LETTER H WITH CIRCUMFLEX
0126          ; Upper # L&       LATIN CAPITAL LETTER H WITH STROKE
0128          ; Upper # L&       LATIN CAPITAL LETTER I WITH TILDE
012A          ; Upper # L&       LATIN CAPITAL LETTER I WITH MACRON
012C          ; Upper # L&       LATIN CAPITAL LETTER I WITH BREVE
012E          ; Upper # L&       LATIN CAPITAL LETTER I WITH OGONEK
0130          ; Upper # L&       LATIN CAPITAL LETTER I WITH DOT ABOVE
0132          ; Upper # L&       LATIN CAPITAL LIGATURE IJ
0134          ; Upper # L&       LATIN CAPITAL LETTER J WITH CIRCUMFLEX
0136          ; Upper # L&       LATIN CAPITAL LETTER K WITH CEDILLA
0139          ; Upper # L&       LATIN CAPITAL LETTER L WITH ACUTE
013B          ; Upper # L&       LATIN CAPITAL LETTER L WITH CEDILLA
013D          ; Upper # L&       LATIN CAPITAL LETTER L WITH CARON
013F          ; Upper # L&       LATIN CAPITAL LETTER L WITH MIDDLE DOT
0141          ; Upper # L&       LATIN CAPITAL LETTER L WITH STROKE
0143          ; Upper # L&       LATIN CAPITAL LETTER N WITH ACUTE
0145          ; Upper # L&       LATIN CAPITAL LETTER N WITH CEDILLA
0147          ; Upper # L&       LATIN CAPITAL LETTER N WITH CARON
014A          ; Upper # L&       LATIN CAPITAL LETTER ENG
014C          ; Upper # L&       LATIN CAPITAL LETTER O WITH MACRON
014E          ; Upper # L&       LATIN CAPITAL LETTER O WITH BREVE
0150          ; Upper # L&       LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
0152          ; Upper # L&       LATIN CAPITAL LIGATURE OE
0154          ; Upper # L&       LATIN CAPITAL LETTER R WITH ACUTE
0156          ; Upper # L&       LATIN CAPITAL LETTER R WITH CEDILLA
0158          ; Upper # L&       LATIN CAPITAL LETTER R WITH CARON
015A          ; Upper # L&       LATIN CAPITAL LETTER S WITH ACUTE
015C          ; Upper # L&       LATIN CAPITAL LETTER S WITH CIRCUMFLEX
015E          ; Upper # L&       LATIN CAPITAL LETTER S WITH CEDILLA
0160          ; Upper # L&       LATIN CAPITAL LETTER S WITH CARON
0162          ; Upper # L&       LATIN CAPITAL LETTER T WITH CEDILLA
0164          ; Upper # L&       LATIN CAPITAL LETTER T WITH CARON
0166          ; Upper # L&       LATIN CAPITAL LETTER T WITH STROKE
0168          ; Upper # L&       LATIN CAPITAL LETTER U WITH TILDE
016A          ; Upper # L&       LATIN CAPITAL LETTER U WITH MACRON
016C          ; Upper # L&       LATIN CAPITAL LETTER U WITH BREVE
016E          ; Upper # L&       LATIN CAPITAL LETTER U WITH RING ABOVE
0170          ; Upper # L&       LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
0172          ; Upper # L&       LATIN CAPITAL LETTER U WITH OGONEK
0174          ; Upper # L&       LATIN CAPITAL LETTER W WITH CIRCUMFLEX
0176          ; Upper # L&       LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
0178..0179    ; Upper # L&   [2] LATIN CAPITAL LETTER Y WITH DIAERESIS..LATIN CAPITAL LETTER Z WITH ACUTE
017B          ; Upper # L&       LATIN CAPITAL LETTER Z WITH DOT ABOVE
017D          ; Upper # L&       LATIN CAPITAL LETTER Z WITH CARON
0181..0182    ; Upper # L&   [2] LATIN CAPITAL LETTER B WITH HOOK..LATIN CAPITAL LETTER B WITH TOPBAR
0184          ; Upper # L&       LATIN CAPITAL LETTER TONE SIX
0186..0187    ; Upper # L&   [2] LATIN CAPITAL LETTER OPEN O..LATIN CAPITAL LETTER C WITH HOOK
0189..018B    ; Upper # L&   [3] LATIN CAPITAL LETTER AFRICAN D..LATIN CAPITAL LETTER D WITH TOPBAR
018E..0191    ; Upper # L&   [4] LATIN CAPITAL LETTER REVERSED E..LATIN CAPITAL LETTER F WITH HOOK
0193..0194    ; Upper # L&   [2] LATIN CAPITAL LETTER G WITH HOOK..LATIN CAPITAL LETTER GAMMA
0196..0198    ; Upper # L&   [3] LATIN CAPITAL LETTER IOTA..LATIN CAPITAL LETTER K WITH HOOK
019C..019D    ; Upper # L&   [2] LATIN CAPITAL LETTER TURNED M..LATIN CAPITAL LETTER N WITH LEFT HOOK
019F..01A0    ; Upper # L&   [2] LATIN CAPITAL LETTER O WITH MIDDLE TILDE..LATIN CAPITAL LETTER O WITH HORN
01A2          ; Upper # L&       LATIN CAPITAL LETTER OI
01A4          ; Upper # L&       LATIN CAPITAL LETTER P WITH HOOK
01A6..01A7    ; Upper # L&   [2] LATIN LETTER YR..LATIN CAPITAL LETTER TONE TWO
01A9          ; Upper # L&       LATIN CAPITAL LETTER ESH
01AC          ; Upper # L&       LATIN CAPITAL LETTER T WITH HOOK
01AE..01AF    ; Upper # L&   [2] LATIN CAPITAL LETTER T WITH RETROFLEX HOOK..LATIN CAPITAL LETTER U WITH HORN
01B1..01B3    ; Upper # L&   [3] LATIN CAPITAL LETTER UPSILON..LATIN CAPITAL LETTER Y WITH HOOK
01B5          ; Upper # L&       LATIN CAPITAL LETTER Z WITH STROKE
01B7..01B8    ; Upper # L&   [2] LATIN CAPITAL LETTER EZH..LATIN CAPITAL LETTER EZH REVERSED
01BC          ; Upper # L&       LATIN CAPITAL LETTER TONE FIVE
01C4..01C5    ; Upper # L&   [2] LATIN CAPITAL LETTER DZ WITH CARON..LATIN CAPITAL LETTER D WITH SMALL LETTER Z WITH CARON
01C7..01C8    ; Upper # L&   [2] LATIN CAPITAL LETTER LJ..LATIN CAPITAL LETTER L WITH SMALL LETTER J
01CA..01CB    ; Upper # L&   [2] LATIN CAPITAL LETTER NJ..LATIN CAPITAL LETTER N WITH SMALL LETTER J
01CD          ; Upper # L&       LATIN CAPITAL LETTER A WITH CARON
01CF          ; Upper # L&       LATIN CAPITAL LETTER I WITH CARON
01D1          ; Upper # L&       LATIN CAPITAL LETTER O WITH CARON
01D3          ; Upper # L&       LATIN CAPITAL LETTER U WITH CARON
01D5          ; Upper # L&       LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON
01D7          ; Upper # L&       LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE
01D9          ; Upper # L&       LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON
01DB          ; Upper # L&       LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE
01DE          ; Upper # L&       LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON
